# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
         PGC380 |     1.366775 |    46.543633 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4971.000000 |    53.000000 |     0.258000
         PGC414 |     1.441244 |   -22.078478 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3148.000000 |    10.000000 |     0.050000
         PGC474 |     1.582958 |   -41.499916 |    31.500000 |     0.170000 |    20.033001 |     1.500000 |    18.299999 |    20.900000 |  1512.000000 |     6.000000 |     0.046000
         PGC482 |     1.606000 |   -41.506584 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1428.000000 |    62.000000 |     0.046000
         PGC496 |     1.659833 |    17.284279 |    31.660000 |     0.030000 |    21.466999 |     0.300000 |    21.200001 |    21.799999 |   873.000000 |     4.000000 |     0.076000
         PGC499 |     1.653458 |    47.878971 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4322.000000 |    11.000000 |     0.368000
         PGC522 |     1.715129 |   -41.839657 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1552.000000 |    22.000000 |     0.038000
         PGC527 |     1.724417 |    41.740360 |    34.279999 |     0.030000 |    71.940002 |     1.110000 |    70.900002 |    73.199997 |  4247.000000 |          NaN |     0.195000
         PGC538 |     1.744875 |    -6.954111 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3885.000000 |     6.000000 |     0.086000
         PGC544 |     1.720114 |   -41.424854 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1435.000000 |          NaN |     0.048000
         PGC562 |     1.810140 |   -52.621197 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1790.000000 |     8.000000 |     0.035000
         PGC565 |     1.820000 |     8.301639 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3900.000000 |    49.000000 |     0.430000
         PGC568 |     1.830167 |   -64.543556 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4908.000000 |    45.000000 |     0.057000
         PGC591 |     1.933423 |    40.875458 |    29.910000 |          NaN |     9.590000 |          NaN |     9.590000 |     9.590000 |   273.000000 |    17.000000 |     0.220000
         PGC594 |     1.946384 |    31.790745 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.130000
         PGC598 |     1.961650 |    35.966293 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |   439.000000 |     4.000000 |     0.174000
         PGC608 |     2.006825 |    33.070770 |    34.459999 |     0.460000 |    79.564003 |    17.400000 |    62.799999 |   109.000000 |  4904.000000 |    10.000000 |     0.127000
         PGC621 |     2.055670 |   -34.578331 |    27.500000 |     0.320000 |     3.205000 |     0.457000 |     2.400000 |     4.100000 |   227.000000 |     2.000000 |     0.033000
